misc
アクション名,アクションタイプ,類似業績マージ優先度,ID,タイトル(日本語),タイトル(英語),著者(日本語),著者(英語),担当区分,概要(日本語),概要(英語),出版者・発行元(日本語),出版者・発行元(英語),出版年月,誌名(日本語),誌名(英語),巻,号,開始ページ,終了ページ,記述言語,査読の有無,招待の有無,掲載種別,国際・国内誌,国際共著,DOI,ISSN,eISSN,URL,URL2,主要な業績かどうか,公開の有無
insert,merge,null,35552076,"ホッとひといき 応用物理と遊びの""おもしろい""話",null,"[白井 暁彦]",null,null,null,null,応用物理学会,null,2015-04,応用物理,null,84,4,347,350,jpn,null,null,null,null,null,null,0369-8009,null,http://id.ndl.go.jp/bib/026312967,null,false,disclosed
insert,merge,null,35420392,"多重化不可視映像技術(第2報)FPGAを用いたハードウェア化 (スマートインフォメディアシステム)","Multiplex hidden imagery technology(2)Implement on FPGA based hardware","[田口 裕起,鈴木 久貴,白井 暁彦]","[TAGUCHI Hiroki,SUZUKI Hisataka,SHIRAI Akihiko]",null,"本論文は多重化不可視映像を実現するFPGA画像合成ハードウェアについて報告する.この技術は民生用パッシブ3Dディスプレイの新しい付加価値創出技術である,多重化不可視映像生成アルゴリズム「ExPixel」に基いている.このアルゴリズムは,自然画像とは別に,裸眼には視認できない映像を生成することができるが,同時にその映像は円偏光フィルターによって選択的に同時に視聴可能である.この技術は,いかなるハードウェア改造や電子的特殊デバイスを使用せず,物理現象とソフトウェア,高解像度パッシブ3Dディスプレイによって実装可能である.本論文ではATYLSプラットフォームにおける,2つのHDMIからフルHD解像度で1つのHDMI出力をするExPixel FPGA実装を報告する.本ハードウェアは幅広い機器でのハードウェア接続試験を行い,従来のPCベースのアプリケーションから,家電,放送,ビデオゲーム機器といった組み込み機器への多重化不可視映像の応用可能性を拡張した.","This article contributes to develop multiplex-hidden image generation hardware implementation on FPGA. The technology is based on a new use of consumer passive 3D displays. The proposed algorithm, which named as ExPixel, can be realized hidden image and prior natural image for naked eyes, but it can be shown by a circular polarization filter selectively and simultaneously. The technique can be implemented in software and physical phenomenon thanks to high resolution of current passive 3D high definition displays, instead of any modified hardwares and/or special electronic devices. In this article, we reported a prototype of FPGA implementation of ExPixel on ATYLS platform with two HDMI input and one HDMI output in full HD resolution. It could tested on various hardware connectivity and it can enlarge new applications of multiplex hidden imagery, not only PC applications but also embedded platform like home electronics, broadcasting materials and video game consoles.",一般社団法人電子情報通信学会,"The Institute of Electronics, Information and Communication Engineers",2014-12-18,"電子情報通信学会技術研究報告 = IEICE technical report : 信学技報",null,114,370,69,74,jpn,null,null,null,null,null,null,0913-5685,null,http://id.ndl.go.jp/bib/026032276,null,false,disclosed
insert,merge,null,35542804,多重化不可視映像技術(第1報)民生品ステレオ3Dフラットパネルでの実現,"Multiplex hidden imagery technology(1)Realized on consumer based stereo 3D flat panels","[鈴木 久貴,白井 暁彦]",null,null,null,null,[日本バーチャルリアリティ学会],null,2014-09-17,"日本バーチャルリアリティ学会大会論文集 Proceedings of the Virtual Reality Society of Japan, Annual Conference",null,19,null,116,119,jpn,null,null,null,null,null,null,1349-5062,null,http://id.ndl.go.jp/bib/026052959,null,false,disclosed
insert,merge,null,17023163,"液晶フラットパネルを用いた多重化隠蔽映像の試行と実現(立体映像における人間工学的研究,及び立体映像技術一般)","Trial and realization of multiplex hidden image in the LC Flat panel display","[小出 雄空明,藤村 航,國富 彦岐,田口 裕起,鈴木 久貴,白井 暁彦]","[KOIDE Yukua,FUJIMURA Wataru,KUNITOMI Genki,TAGUCHI Hiroki,SUZUKI Hisataka,SHIRAI Akihiko]",null,"本研究は,映像技術の新しい付加価値創出として開発を行ってきた,3D互換の映像多重化技術の,液晶フラットパネル上での実現について述べている.普及型の3Dディスプレイに用いられるライン・バイ・ライン方式を利用した映像の多重化と隠蔽について試作し,その結果から液晶フラットパネルを用いた多重化隠蔽映像の実現を行った.","ITE This article contributes about realization of multiplex technology which has compatibility with current three dimentional display. It contains a prototype of liquid crystal flat panel by a line-by-line method as a latest realization of multiplex-hidden imagery.",一般社団法人映像情報メディア学会,"The Institute of Image Information and Television Engineers",2014-02-27,映像情報メディア学会技術報告,"ITE Technical Report",38,11,39,40,jpn,false,false,null,null,null,null,1342-6893,null,http://ci.nii.ac.jp/naid/110009809732,null,false,disclosed
insert,merge,null,17023162,"直線偏光による多重化隠蔽型ハイブリッド3Dディスプレイにおける画質評価(立体映像における人間工学的研究,及び立体映像技術一般)","Image evaluation of multiplex-hidden hybrid 3D display using linear polarization","[藤村 航,小出 雄空明,國富 彦岐,田口 裕起,鈴木 久貴,白井 暁彦]","[FUJIMURA Wataru,KOIDE Yukua,KUNITOMI Genki,TAGUCHI Hiroki,SUZUKI Hisataka,SHIRAI Akihiko]",null,"多重化隠蔽映像技術によって,メガネの切り替えのみで単一のディスプレイを2Dと3Dディスプレイのハイブリッドディスプレイとして使用することができる「2x3D」技術において,複数の被験者における画質向上のための評価実験を行った.","This article reports about an application technique which can realize 2D/3D hybrid display using multiplex-hidden imagery. In the experiment, it evaluated better image quality for various user and environments.",一般社団法人映像情報メディア学会,"The Institute of Image Information and Television Engineers",2014-02-27,映像情報メディア学会技術報告,"ITE Technical Report",38,11,35,38,jpn,false,false,null,null,null,null,1342-6893,null,http://ci.nii.ac.jp/naid/110009809731,null,false,disclosed
insert,merge,null,17023161,"HMD装着時における首によるジェスチャ認識 : 首可動域の特性(視聴覚技術,ヒューマンインタフェースおよび一般)","Neck gesture recognition for head mounted display user : movable range of head turning","[田口 裕起,鈴木 久貴,小川 耕作,白井 暁彦]","[Taguchi Hiroki,Suzuki Hisataka,Ogawa Kosaku,Shirai Akihiko]",null,"本研究ではHMDのセンサフュージョンをそのまま利用し,普及しているコンテンツ開発環境であるUnity3Dにおける首の動きを利用したジェスチャ入力の認識方法を提案する.最も基本的な方法として,絶対的な回転角度によって「肯定」,「否定」,「疑問」の3つのジェスチャを認識する.","This article proposes a motion recognition method for Oculus Rift, which is currently the most popular head mounted display available, by using neck motion as non-verbal interaction. We use sensor-fusion, which is already equipped on the Oculus Rift, to detect user&#039;s neck motion. The method can define three gestures, namely, &quot;agree,&quot; &quot;disagree,&quot; and &quot;make a question,&quot; by determining the constancy of the head turning angle.",一般社団法人映像情報メディア学会,"The Institute of Image Information and Television Engineers",2014-02-25,映像情報メディア学会技術報告,"ITE Technical Report",38,10,9,11,jpn,false,false,null,null,null,null,1342-6893,null,http://ci.nii.ac.jp/naid/110009807451,null,false,disclosed
insert,merge,null,26902023,多重化映像と非装着センシングによる対話支援型知能化映像システム(3)多重化隠蔽映像の高機能化と教育向けプラットホームの開発),多重化映像と非装着センシングによる対話支援型知能化映像システム(3)多重化隠蔽映像の高機能化と教育向けプラットホームの開発),"[白井暁彦,谷中一寿,佐藤尚,坂内祐一,服部哲,中村隆之,小坂崇之,大塚真吾,佐藤智明]","[白井暁彦,谷中一寿,佐藤尚,坂内祐一,服部哲,中村隆之,小坂崇之,大塚真吾,佐藤智明]",null,null,null,null,null,2014,神奈川工科大学先端工学研究センター研究所研究報告(CD-ROM),神奈川工科大学先端工学研究センター研究所研究報告(CD-ROM),18,null,ROMBUNNO.32,null,jpn,false,false,null,null,null,null,null,null,http://jglobal.jst.go.jp/public/201502292379051677,null,false,disclosed
insert,merge,null,17023160,"SIGGRAPH 2013見聞記(話題)","Current Topics of SIGGRAPH 2013(topics)","[中嶋 正之,白井 暁彦]","[Nakajima Masayuki,Shirai Akihiko]",null,"今年で40回目となるSIGGRAPH 2013は,2013年7月21日(日)から7月25日(木)まで,米国カリフォルニア州,アナハイム・コンベンションセンタで,例年通り華やかに開催された.SIGGRAPHはACMに属する一つの研究会で,CG(Computer Graphics)やインタラクティブ技術に関する国際会議であり,CG,Virtual Reality,Art,Image ProcessingやGameに関する最新の試みなどが発表される,本学会の会員にも極めて重要な会議である.本会議は,5日間にわたり,並列して多数のイベントが開催されており,すべてを聴講することは不可能であるが,今年もその概要を報告する.",null,一般社団法人映像情報メディア学会,"The Institute of Image Information and Television Engineers",2013-11-01,"映像情報メディア学会誌 : 映像情報メディア","The journal of the Institute of Image Information and Television Engineers",67,11,955,961,jpn,false,false,null,null,null,null,1342-6907,null,http://ci.nii.ac.jp/naid/110009725872,null,false,disclosed
insert,merge,null,17023159,"プロジェクションマッピング登場の歴史と展望 (特集 新たな展開を見せる映像表現技術「プロジェクションマッピング」)",null,"[白井 暁彦]",null,null,null,null,アドコム・メディア,null,2013-11,"O plus E : Optics・Electronics",null,35,11,1265,1272,jpn,false,false,null,null,null,null,0911-5943,null,http://ci.nii.ac.jp/naid/40019839678,null,false,disclosed
insert,merge,null,15670827,"SIGGRAPH 2013見聞記","Current Topics of SIGGRAPH 2013","[中嶋 正之,白井 暁彦]",null,null,null,null,映像情報メディア学会,null,2013-11,"映像情報メディア学会誌 = The journal of the Institute of Image Information and Television Engineers",null,67,11,955,961,jpn,false,false,null,null,null,null,1342-6907,null,http://ci.nii.ac.jp/naid/40019848748,null,false,disclosed
